Campeonato,ValorTotal,DiasPassados,Dia
,5939229,3,06/05/2017
,6573269,4,07/05/2017
,7049884,5,08/05/2017
,7422856,6,09/05/2017
,7750340,7,10/05/2017
,8037183,8,11/05/2017
,8329028,9,12/05/2017
,8604665,10,13/05/2017
,8811893,11,14/05/2017
,9006280,12,15/05/2017
,9177298,13,16/05/2017
,9333681,14,17/05/2017
,9541195,15,18/05/2017
,9878312,16,19/05/2017
,10120381,17,20/05/2017
,10290247,18,21/05/2017
,10432568,19,22/05/2017
,10566308,20,23/05/2017
,10691014,21,24/05/2017
,10820650,22,25/05/2017
,11096881,23,26/05/2017
,11890638,24,27/05/2017
,12177088,25,28/05/2017
,12398378,26,29/05/2017
,12577375,27,30/05/2017
,12744358,28,31/05/2017
,12901390,29,01/06/2017
,13063795,30,02/06/2017
,13331089,31,03/06/2017
,13496924,32,04/06/2017
,13636830,33,05/06/2017
,13767525,34,06/06/2017
,13884819,35,07/06/2017
,14011392,36,08/06/2017
,14234675,37,09/06/2017
,14424616,38,10/06/2017
,14561007,39,11/06/2017
,14671288,40,12/06/2017
,14774699,41,13/06/2017
,14870505,42,14/06/2017
,14973529,43,15/06/2017
,15142627,44,16/06/2017
,15590465,45,17/06/2017
,15793920,46,18/06/2017
,15949736,47,19/06/2017
,16086718,48,20/06/2017
,16209431,49,21/06/2017
,16992629,50,22/06/2017
,18292293,51,23/06/2017
,18926790,52,24/06/2017
,19367048,53,25/06/2017
,19602565,54,26/06/2017
,19682293,55,27/06/2017
,19756815,56,28/06/2017
,19834935,57,29/06/2017
,19924919,58,30/06/2017
,20033897,59,01/07/2017
,20108687,60,02/07/2017
,20178843,61,03/07/2017
,20244454,62,04/07/2017
,20307893,63,05/07/2017
,20375051,64,06/07/2017
,20456251,65,07/07/2017
,20552932,66,08/07/2017
,20619847,67,09/07/2017
,20684404,68,10/07/2017
,20743774,69,11/07/2017
,20799069,70,12/07/2017
,20858107,71,13/07/2017
,21041932,72,14/07/2017
,21299951,73,15/07/2017
,21444778,74,16/07/2017
,21555721,75,17/07/2017
,21661116,76,18/07/2017
,21753959,77,19/07/2017
,21843017,78,20/07/2017
,21939541,79,21/07/2017
,22052677,80,22/07/2017
,22138001,81,23/07/2017
,22208941,82,24/07/2017
,22286715,83,25/07/2017
,22463842,84,26/07/2017
,22574590,85,27/07/2017
,22686422,86,28/07/2017
,22901190,87,29/07/2017
,23032219,88,30/07/2017
,23145090,89,31/07/2017
,23257988,90,01/08/2017
,23377447,91,02/08/2017
,23496150,92,03/08/2017
,23620300,93,04/08/2017
,23746445,94,05/08/2017
,23881615,95,06/08/2017
,23989300,96,07/08/2017
,24091451,97,08/08/2017
,24197887,98,09/08/2017
,24318726,99,10/08/2017
,24469876,100,11/08/2017
,24654624,101,12/08/2017
,24770132,102,13/08/2017
,24787916,103,14/08/2017
The International 2016,1600000,1,16/05/2016
,4204753,2,17/05/2016
,5351325,3,18/05/2016
,5942380,4,19/05/2016
,6437459,5,20/05/2016
,6853407,6,21/05/2016
,7158775,7,22/05/2016
,7396324,8,23/05/2016
,7602951,9,24/05/2016
,7789988,10,25/05/2016
,7959459,11,26/05/2016
,8130982,12,27/05/2016
,8308129,13,28/05/2016
,8447025,14,29/05/2016
,8576253,15,30/05/2016
,8706944,16,31/05/2016
,8830233,17,01/06/2016
,8986853,18,02/06/2016
,9140407,19,03/06/2016
,9978024,20,04/06/2016
,10291207,21,05/06/2016
,10505781,22,06/06/2016
,10694613,23,07/06/2016
,10866562,24,08/06/2016
,11043369,25,09/06/2016
,11208989,26,10/06/2016
,11398163,27,11/06/2016
,11543930,28,12/06/2016
,11670204,29,13/06/2016
,11793739,30,14/06/2016
,11905802,31,15/06/2016
,12012902,32,16/06/2016
,12115460,33,17/06/2016
,12233618,34,18/06/2016
,12328335,35,19/06/2016
,12416395,36,20/06/2016
,12501438,37,21/06/2016
,12584611,38,22/06/2016
,13209300,39,23/06/2016
,13483039,40,24/06/2016
,13674490,41,25/06/2016
,13802785,42,26/06/2016
,13983334,43,27/06/2016
,14119178,44,28/06/2016
,14262327,45,29/06/2016
,15387465,46,30/06/2016
,15951107,47,01/07/2016
,16369896,48,02/07/2016
,16641896,49,03/07/2016
,16796806,50,04/07/2016
,16884682,51,05/07/2016
,16964503,52,06/07/2016
,17054893,53,07/07/2016
,17133208,54,08/07/2016
,17211390,55,09/07/2016
,17280216,56,10/07/2016
,17350285,57,11/07/2016
,17465929,58,12/07/2016
,17561528,59,13/07/2016
